run_id,date_iso,score_human_pct,score_ai_pct,notes,is_best,pipeline_changes
1,2026-02-18T21:51:18.609Z,0,100,,0,
2,2026-02-18T21:55:39.352Z,0,100,,0,
3,2026-02-18T22:00:51.215Z,,,,,
4,2026-02-18T22:03:42.493Z,,,,,
5,2026-02-18T22:14:19.827Z,,,,,
6,2026-02-19T00:54:19.167Z,,,,,
7,2026-02-19T00:56:17.720Z,,,,,
8,2026-02-19T00:59:19.387Z,,,,,
9,2026-02-19T01:04:12.192Z,,,,,
10,2026-02-19T01:07:36.186Z,,,,,
11,2026-02-19T01:13:35.741Z,,,,,
12,2026-02-19T01:20:36.529Z,,,,,
13,2026-02-19T01:29:23.885Z,,,,,
14,2026-02-19T01:34:58.117Z,,,,,
15,2026-02-19T01:39:28.731Z,7,89,,0,
16,2026-02-19T01:44:13.297Z,25,22,,1,
